roi,hit_rate,n_trades,n_hits,invest,return,n_races,week_start,month,mode
0.0,0.0,280,0,28000,0,70,2025-03-31,2025-03,llm
0.0,0.0,280,0,28000,0,70,2025-04-07,2025-04,llm
0.0,0.0,280,0,28000,0,70,2025-04-14,2025-04,llm
411.21,0.42,240,1,24000,98690,60,2025-04-21,2025-04,llm
0.0,0.0,160,0,16000,0,40,2025-04-28,2025-04,llm
0.0,0.0,280,0,28000,0,70,2025-05-05,2025-05,llm
0.0,0.0,280,0,28100,0,70,2025-05-12,2025-05,llm
0.0,0.0,280,0,28000,0,70,2025-05-19,2025-05,llm
0.0,0.0,280,0,28000,0,70,2025-05-26,2025-05,llm
0.0,0.0,280,0,28100,0,70,2025-06-02,2025-06,llm
0.0,0.0,280,0,29100,0,70,2025-06-09,2025-06,llm
0.0,0.0,280,0,28500,0,70,2025-06-16,2025-06,llm
0.0,0.0,280,0,28300,0,70,2025-06-23,2025-06,llm
0.0,0.0,280,0,28200,0,70,2025-06-30,2025-06,llm
0.0,0.0,240,0,24000,0,60,2025-07-07,2025-07,llm
0.0,0.0,200,0,20000,0,50,2025-07-14,2025-07,llm
168.14,0.36,280,1,28000,47080,70,2025-07-21,2025-07,llm
0.0,0.0,280,0,28000,0,70,2025-07-28,2025-07,llm
0.0,0.0,280,0,28000,0,70,2025-08-04,2025-08,llm
0.0,0.0,280,0,28100,0,70,2025-08-11,2025-08,llm
733.32,0.36,280,1,28300,207530,70,2025-08-18,2025-08,llm
0.0,0.0,280,0,28000,0,70,2025-08-25,2025-08,llm
0.0,0.0,280,0,28100,0,70,2025-09-01,2025-09,llm
0.0,0.0,280,0,28100,0,70,2025-09-08,2025-09,llm
0.0,0.0,240,0,24100,0,60,2025-09-15,2025-09,llm
0.0,0.0,280,0,28100,0,70,2025-09-22,2025-09,llm
0.0,0.0,280,0,28000,0,70,2025-09-29,2025-09,llm
0.0,0.0,280,0,28200,0,70,2025-10-06,2025-10,llm
0.0,0.0,280,0,28000,0,70,2025-10-13,2025-10,llm
232.36,0.36,280,1,28000,65060,70,2025-10-20,2025-10,llm
121.43,0.36,280,1,28000,34000,70,2025-10-27,2025-10,llm
0.0,0.0,280,0,28000,0,70,2025-11-03,2025-11,llm
0.0,0.0,240,0,24000,0,60,2025-11-10,2025-11,llm
93.0,1.25,80,1,8000,7440,20,2025-11-17,2025-11,llm
0.0,0.0,280,0,28000,0,70,2025-11-24,2025-11,llm
0.0,0.0,160,0,16000,0,40,2025-12-01,2025-12,llm
0.0,0.0,80,0,8000,0,20,2026-02-23,2026-02,llm
0.0,0.0,280,0,28100,0,70,2026-03-02,2026-03,llm
0.0,0.0,280,0,28100,0,70,2026-03-09,2026-03,llm
0.0,0.0,280,0,28000,0,70,2026-03-16,2026-03,llm
0.0,0.0,240,0,24100,0,60,2026-03-23,2026-03,llm
0.0,0.0,200,0,20100,0,50,2026-03-30,2026-03,llm
0.0,0.0,280,0,28000,0,70,2026-04-06,2026-04,llm
0.0,0.0,240,0,24000,0,60,2026-04-13,2026-04,llm
0.0,0.0,160,0,16000,0,40,2026-04-20,2026-04,llm
0.0,0.0,280,0,28000,0,70,2026-04-27,2026-04,llm
0.0,0.0,280,0,28300,0,70,2026-05-04,2026-05,llm
0.0,0.0,200,0,20000,0,50,2026-05-11,2026-05,llm
0.0,0.0,280,0,28200,0,70,2026-05-18,2026-05,llm
0.0,0.0,200,0,20000,0,50,2026-05-25,2026-05,llm
