R,races,det_races,det_hits,1号艇1着率(%),平均払戻,中央払戻,Det本命1着率(%)
1,1475,62,33,57.7,7003,2480,53.2
2,1475,58,26,46.4,7158,2990,44.8
3,1474,34,16,46.5,517202,2720,47.1
4,1474,18,8,47.2,6861,2700,44.4
5,1473,10,9,52.0,7062,2590,90.0
6,1469,13,6,48.5,9179,2590,46.2
7,1464,22,10,49.9,13123,2430,45.5
8,1457,19,8,50.6,8056,2560,42.1
9,1457,24,14,58.8,6175,2120,58.3
10,1455,30,16,60.9,7707,2230,53.3
11,1454,26,19,67.6,7636,1975,73.1
12,1453,30,20,72.0,10782,1880,66.7
