R,races,hits,inv,ret,hit_rate(%),ROI(%)
1,62,2,33100.0,12570.0,3.2,38.0
2,58,0,31700.0,0.0,0.0,0.0
3,34,0,17600.0,0.0,0.0,0.0
4,18,0,10700.0,0.0,0.0,0.0
5,10,0,6800.0,0.0,0.0,0.0
6,13,1,8400.0,9720.0,7.7,115.7
7,22,3,16800.0,32640.0,13.6,194.3
8,19,2,13400.0,56600.0,10.5,422.4
9,24,2,17600.0,18040.0,8.3,102.5
10,30,1,22400.0,29910.0,3.3,133.5
11,26,0,22000.0,0.0,0.0,0.0
12,30,0,21000.0,0.0,0.0,0.0
